Item,Marca,Precio,Categoria,Web,class_inei,codigo,genero
sandalia casual mujer icangry2 az,stefano cocci,59.9,sandalias mujeres,falabella,SANDALIAS (MUJER > 14),321030115,mujer
correa unifaz de cuero pasadores,velez,135.2,correas,falabella,NO CLASIFICACIÓN,0,mujer
bralette sin costura,generico,35.0,sostenes,falabella,ROPA INTERIOR (MUJER > 14),312020172,mujer
zapatillas de entrenamiento de baloncesto de caña alta   ,danweile,239.0,zapatos,falabella,ZAPATILLAS (HOMBRE >14),321010303,mujer
conjunto dos piezas lino mujer,mood,120.0,moda mujer,falabella,NO CLASIFICACIÓN,0,mujer
pack conjunto de lencería de encaje    ,generico,109.99,calzones,falabella,ROPA INTERIOR (MUJER > 14),312020172,mujer
running hombre titanium 24 royal,joma,287.2,zapatos,falabella,ZAPATILLAS (HOMBRE >14),321010303,hombre
medias baby alpaca extra suave,alpachany,44.84,medias,falabella,CALCETINES (HOMBRE > 14),312010119,mujer
taco mujer bumblebee 2086l 55 taco 9  rosado,generico,99.0,sandalias mujeres,falabella,ZAPATOS (MUJER > 14),321030121,mujer
zapato casual mujer eden loafer dorado,michael kors,559.2,zapatos casuales mujer,falabella,ZAPATOS (MUJER > 14),321030121,mujer
zapatillas deportivas hombre gel dedicate 8 clay whiteblue,asics,449.9,zapatos,falabella,ZAPATILLAS (HOMBRE >14),321010303,hombre
tenis cooper 3 de cuero para hombre spoiler en contraste,velez,709.0,zapatos,falabella,ZAPATILLAS (HOMBRE >14),321010303,hombre
